"variable","titre","Formulaire
(par défaut BM)","page","type","Représentation 
(par défaut INPUT TEXT)","Taille de champs de saisie (par défaut identique à Représentation)","valeurs autorisées / modalités","Obligatoire (par défaut OUI) ","Non Modifiable
(par défaut NON)","SOMME","DEPENDANCES","Abrégé (A) / Complet (C) / Les deux (AC) (AC par défaut)","initialisation 
(par défaut aucune)","Nom variable n-1 dans ADRESSE08"
"D208","Publications en série en cours – Total – Adultes – Titres",,"D","Int",10,,,,,,,"C",,
"D209","Publications en série en cours – Total – Enfants – Abonnements",,"D","Int",10,,,,,,,"C",,
"D210","Publications en série en cours – Total – Enfants – Titres",,"D","Int",10,,,,,,,"C",,
"D211","Publications en série en cours  – Total – Titres",,"D","Int",10,,,,,,,"A",,
"D301","Autres documents – Manuscrits – ML – Fonds",,"D","Int",10,,,,,,,"C",,
"D302","Autres documents – Manuscrits – ML – Acquisitions",,"D","Int",10,,,,,,,"C",,
"D303","Autres documents – Manuscrits – UM – Fonds",,"D","Int",10,,,,,,,"C",,
"D304","Autres documents – Manuscrits – UM – Acquisitions",,"D","Int",10,,,,,,,"C",,
"D305","Autres documents – Microformes – UM – Fonds",,"D","Int",10,,,,,,,"C",,
"D306","Autres documents – Microformes – UM – Acquisitions",,"D","Int",10,,,,,,,"C",,
"D307","Autres documents – Documents cartographiques – UM – Fonds",,"D","Int",10,,,,,,,"C",,
"D308","Autres documents – Documents cartographiques – UM – Acquisitions",,"D","Int",10,,,,,,,"C",,
"D309","Autres documents – Musique imprimée – UM – Fonds",,"D","Int",10,,,,,,,"C",,
"D310","Autres documents – Musique imprimée – UM – Acquisitions",,"D","Int",10,,,,,,,"C",,
"D311","Autres documents – Musique imprimée – dont libre accès – UM – Fonds",,"D","Int",10,,,,,,,"C",,
"D312","Autres documents – Musique imprimée – dont libre accès – TIT – Fonds",,"D","Int",10,,,,,,,"C",,
"D313","Autres documents – Musique imprimée – dont libre accès – TIT – Acquisitions",,"D","Int",10,,,,,,,"C",,
"D314","Autres documents – Documents graphiques – UM – Fonds",,"D","Int",10,,,,,,,"C",,
"D315","Autres documents – Documents graphiques – UM – Acquisitions",,"D","Int",10,,,,,,,"C",,
"D316","Autres documents – Documents graphiques – ML – Fonds",,"D","Int",10,,,,,,,"C",,
"D317","Autres documents – Documents graphiques – ML – Acquisitions",,"D","Int",10,,,,,,,"C",,
"D318","Autres documents – Autres documents – UM – Fonds",,"D","Int",10,,,,,,,"C",,
"D319","Autres documents – Autres documents – UM – Acquisitions",,"D","Int",10,,,,,,,"C",,
"D320","Autres documents – UM – Eliminations  ",,"D","Int",10,,,,,,,"AC",,
"D321","Autres documents – Totalisation Abrégé -Fonds",,"D","Int",10,,,,,,,"A",,
"D322","Autres documents – Totalisation Abrégé -Acquisitions",,"D","Int",10,,,,,,,"A",,
"D401","Documents audiovisuels – Documents sonores : musique – Sur support (UM) – Fonds",,"D","Int",10,,,,,,,"C",,
"D402","Documents audiovisuels – Documents sonores : musique – Sur support (UM) – Acquisitions",,"D","Int",10,,,,,,,"C",,
